from,to,relation
fcb,bl,3
fcb1,gelj,1
fcb1,fcb,2
fcb2,vafc,1
fcb2,fcb,2
fcb4,aja,1
fcb4,fcb,2
fcb5,lil,1
fcb5,fcb,2
fcb6,vfbj,1
fcb6,fcb,2
fcb7,ars,1
fcb7,fcb,2
fcb8,bocj,1
fcb8,fcb,2
fcb10,gelj,1
fcb10,fcb,2
fcb11,psg,1
fcb11,fcb,2
fcb13,hsv,1
fcb13,fcb,2
fcb14,fcbj,1
fcb14,fcb,2
fcb17,foot,1
fcb17,fcb,2
fcb19,vanw,1
fcb19,fcb,2
fcb20,met,1
fcb20,fcb,2
fcb21,atm,1
fcb21,fcb,2
fcb22,ben,1
fcb22,fcb,2
fcb23,aja,1
fcb23,fcb,2
fcb25,fcbj,1
fcb25,fcb,2
fcb26,vfbj,1
fcb26,fcb,2
fcb27,bas,1
fcb27,fcb,2
fcb38,aja,1
fcb38,fcb,2
fcb39,ren,1
fcb39,fcb,2
fcb40,aja,1
fcb40,fcb,2
fcb42,fcbj,1
fcb42,fcb,2
fcb44,fcbj,1
fcb44,fcb,2
