from,to,relation
fcu,bl,3
fcu1,fcu,2
fcu1,hors,1
fcu2,fcu,2
fcu2,stab,1
fcu3,fcu,2
fcu3,wobj,1
fcu4,fcu,2
fcu4,por,1
fcu5,fcu,2
fcu5,aja,1
fcu7,fcu,2
fcu7,hsv,1
fcu8,fcu,2
fcu8,vfbj,1
fcu11,fcu,2
fcu11,nied,1
fcu13,fcu,2
fcu13,mtk,1
fcu14,fcu,2
fch14,wobj,1
fcu16,fcu,2
fcu16,fcuj,1
fcu17,fcu,2
fcu17,svwj,1
fcu18,fcu,2
fcu18,nkd,1
fcu19,fcu,2
fcu19,uha,1
fcu20,fcu,2
fcu20,asco,1
fcu23,fcu,2
fcu23,han,1
fcu25,fcu,2
fcu25,vfbj,1
fcu26,fcu,2
fcu26,soc,1
fcu27,fcu,2
fcu27,aja,1
fcu28,fcu,2
fcu28,hori,1
fcu30,fcu,2
fcu30,rwer,1
fcu31,fcu,2
fcu31,wobj,1
fcu32,fcu,2
fcu32,fcbj,1
fcu37,fcu,2
fcu37,fck,1
fcu40,fcu,2
fcu40,fur,1
fcu45,fcu,2
fcu45,reim,1
