from,to,relation
rbl,bl,3
rbl1,rbl,2
rbl1,mtk,1
rbl2,rbl,2
rbl2,stra,1
rbl4,rbl,2
rbl4,fck,1
rbl7,rbl,2
rbl7,bar,1
rbl8,rbl,2
rbl8,bama,1
rbl9,lyn,1
rbl9,rbl,2
rbl10,sun,1
rbl10,rbl,2
rbl11,vfbj,1
rbl11,rbl,2
rbl13,hoed,1
rbl13,rbl,2
rbl16,bocj,1
rbl16,rbl,2
rbl17,rbs,1
rbl17,rbl,2
rbl18,psg,1
rbl18,rbl,2
rbl19,prt,1
rbl19,rbl,2
rbl21,bmgj,1
rbl21,rbl,2
rbl22,fur,1
rbl22,rbl,2
rbl23,han,1
rbl23,rbl,2
rbl24,rbs,1
rbl24,rbl,2
rbl25,rblj,1
rbl25,rbl,2
rbl27,rbs,1
rbl27,rbl,2
rbl32,zag,1
rbl32,rbl,2
rbl37,asm,1
rbl37,rbl,2
rbl39,levj,1
rbl39,rbl,2
rbl44,levj,1
rbl44,rbl,2
